-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        60.38%       7.143ms        99.93%      11.822ms      11.822ms       0.000us         0.00%       2.481ms       2.481ms           0 b    -548.44 Kb      77.50 Kb    -989.50 Kb             1  
                                           aten::linear         2.18%     258.000us        20.57%       2.433ms      40.550us       0.000us         0.00%       2.082ms      34.700us           0 b           0 b     160.00 Kb      10.00 Kb            60  
                                            aten::addmm        12.23%       1.447ms        16.51%       1.953ms      32.550us       2.279ms        91.86%       2.279ms      37.983us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         2.29%     271.000us         8.10%     958.000us      19.160us       0.000us         0.00%     101.000us       2.020us           0 b           0 b     155.00 Kb           0 b            50  
                                       cudaLaunchKernel         6.95%     822.000us         6.95%     822.000us       5.871us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           140  
                                        aten::clamp_min         3.48%     412.000us         5.81%     687.000us      13.740us     101.000us         4.07%     101.000us       2.020us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                               aten::to         2.07%     245.000us         4.39%     519.000us      25.950us       0.000us         0.00%      40.000us       2.000us           0 b           0 b     610.00 Kb     122.00 Kb            20  
                                         aten::_to_copy         0.42%      50.000us         3.01%     356.000us      35.600us       0.000us         0.00%      50.000us       5.000us           0 b           0 b     610.00 Kb           0 b            10  
                                                aten::t         1.44%     170.000us         2.84%     336.000us       5.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                              aten::max         1.78%     210.000us         2.30%     272.000us      27.200us      41.000us         1.65%      41.000us       4.100us           0 b           0 b      10.00 Kb      10.00 Kb            10  
                                        cudaMemcpyAsync         2.19%     259.000us         2.19%     259.000us      12.950us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
