-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        42.75%      14.455ms        99.99%      33.809ms      33.809ms       0.000us         0.00%       6.859ms       6.859ms          48 b    -609.80 Kb      14.46 Mb    -255.34 Mb             1  
                                           aten::linear         2.45%     828.000us        26.44%       8.939ms      63.850us       0.000us         0.00%       4.254ms      30.386us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm        12.12%       4.098ms        20.76%       7.019ms      50.136us       3.574ms        59.29%       4.254ms      30.386us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       cudaLaunchKernel         8.27%       2.797ms         8.27%       2.797ms       6.822us     255.000us         4.23%     255.000us       0.622us           0 b           0 b           0 b           0 b           410  
                                       aten::layer_norm         0.34%     116.000us         6.07%       2.053ms      34.217us       0.000us         0.00%     345.000us       5.750us           0 b           0 b      17.75 Mb     303.00 Kb            60  
                                aten::native_layer_norm         3.23%       1.091ms         5.82%       1.969ms      32.817us     300.000us         4.98%     350.000us       5.833us           0 b           0 b      17.75 Mb           0 b            60  
                     aten::scaled_dot_product_attention         0.97%     327.000us         5.14%       1.737ms      57.900us       0.000us         0.00%       1.372ms      45.733us         480 b           0 b       9.08 Mb           0 b            30  
          aten::_scaled_dot_product_efficient_attention         1.20%     406.000us         4.17%       1.410ms      47.000us       0.000us         0.00%       1.372ms      45.733us         480 b           0 b       9.08 Mb           0 b            30  
                                            aten::copy_         1.29%     435.000us         4.09%       1.383ms      23.050us     338.000us         5.61%     359.000us       5.983us           0 b           0 b           0 b           0 b            60  
                                               aten::to         0.78%     264.000us         4.00%       1.354ms      33.850us       0.000us         0.00%     186.000us       4.650us           0 b           0 b       3.53 Mb      61.50 Kb            40  
