-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        41.96%      14.384ms        99.98%      34.273ms      34.273ms       0.000us         0.00%       6.869ms       6.869ms          48 b    -609.84 Kb      14.46 Mb    -260.01 Mb             1  
                                           aten::linear         2.63%     900.000us        26.21%       8.983ms      64.164us       0.000us         0.00%       4.247ms      30.336us           0 b           0 b     117.19 Mb     600.00 Kb           140  
                                            aten::addmm        11.97%       4.102ms        20.47%       7.018ms      50.129us       3.589ms        59.48%       4.271ms      30.507us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       cudaLaunchKernel         8.06%       2.762ms         8.06%       2.762ms       6.737us     257.000us         4.26%     257.000us       0.627us           0 b           0 b           0 b           0 b           410  
                                       aten::layer_norm         0.81%     279.000us         6.06%       2.077ms      34.617us       0.000us         0.00%     323.000us       5.383us           0 b           0 b      17.75 Mb       1.78 Mb            60  
                                aten::native_layer_norm         3.08%       1.055ms         5.81%       1.992ms      33.200us     300.000us         4.97%     353.000us       5.883us           0 b           0 b      17.75 Mb           0 b            60  
                     aten::scaled_dot_product_attention         1.31%     450.000us         5.05%       1.731ms      57.700us       0.000us         0.00%       1.231ms      41.033us         480 b          48 b       9.08 Mb     930.00 Kb            30  
          aten::_scaled_dot_product_efficient_attention         1.17%     401.000us         4.15%       1.421ms      47.367us       0.000us         0.00%       1.368ms      45.600us         480 b           0 b       9.08 Mb           0 b            30  
                                            aten::copy_         1.30%     446.000us         4.07%       1.395ms      23.250us     338.000us         5.60%     359.000us       5.983us           0 b           0 b           0 b           0 b            60  
                                               aten::to         0.49%     168.000us         3.95%       1.354ms      33.850us       0.000us         0.00%     192.000us       4.800us           0 b           0 b       3.53 Mb           0 b            40  
