-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        65.95%      14.890ms        99.96%      22.566ms      22.566ms       0.000us         0.00%       2.880ms       2.880ms           0 b    -609.38 Kb      77.50 Kb    -862.00 Kb             1  
                                           aten::linear         1.32%     297.000us        15.41%       3.479ms      57.983us       0.000us         0.00%       2.637ms      43.950us           0 b           0 b     160.00 Kb       4.50 Kb            60  
                                            aten::addmm         8.94%       2.019ms        11.94%       2.696ms      44.933us       2.658ms        92.29%       2.658ms      44.300us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                               aten::to         4.89%       1.104ms         7.78%       1.756ms      87.800us       0.000us         0.00%      50.000us       2.500us           0 b           0 b     610.00 Kb           0 b            20  
                                             aten::relu         1.80%     407.000us         6.53%       1.474ms      29.480us       0.000us         0.00%     100.000us       2.000us           0 b           0 b     155.00 Kb           0 b            50  
                                       cudaLaunchKernel         4.91%       1.109ms         4.91%       1.109ms       9.242us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           120  
                                        aten::clamp_min         2.92%     659.000us         4.73%       1.067ms      21.340us     100.000us         3.47%     100.000us       2.000us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                         aten::_to_copy         0.43%      96.000us         2.89%     652.000us      65.200us       0.000us         0.00%      50.000us       5.000us           0 b           0 b     610.00 Kb           0 b            10  
                                                aten::t         1.20%     270.000us         2.44%     550.000us       9.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                            aten::copy_         0.53%     120.000us         2.00%     452.000us      45.200us      50.000us         1.74%      50.000us       5.000us           0 b           0 b           0 b           0 b            10  
                                              aten::max         1.50%     339.000us         1.89%     426.000us      42.600us      62.000us         2.15%      62.000us       6.200us           0 b           0 b      10.00 Kb      10.00 Kb            10  
