-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        60.69%       7.708ms        99.96%      12.695ms      12.695ms       0.000us         0.00%       2.475ms       2.475ms           0 b    -609.38 Kb      77.50 Kb      -1.02 Mb             1  
                                           aten::linear         1.34%     170.000us        20.44%       2.596ms      43.267us       0.000us         0.00%       2.275ms      37.917us           0 b           0 b     160.00 Kb           0 b            60  
                                            aten::addmm        12.03%       1.528ms        16.31%       2.071ms      34.517us       2.275ms        91.92%       2.275ms      37.917us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         2.20%     280.000us         7.91%       1.005ms      20.100us       0.000us         0.00%     101.000us       2.020us           0 b           0 b     155.00 Kb           0 b            50  
                                       cudaLaunchKernel         6.64%     843.000us         6.64%     843.000us       6.021us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           140  
                                        aten::clamp_min         3.50%     445.000us         5.71%     725.000us      14.500us     101.000us         4.08%     101.000us       2.020us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                               aten::to         2.88%     366.000us         5.35%     680.000us      34.000us       0.000us         0.00%      34.000us       1.700us           0 b           0 b     610.00 Kb     183.00 Kb            20  
                                         aten::_to_copy         0.83%     105.000us         2.90%     368.000us      36.800us       0.000us         0.00%      39.000us       3.900us           0 b           0 b     610.00 Kb           0 b            10  
                                                aten::t         1.24%     157.000us         2.80%     355.000us       5.917us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                              aten::max         1.77%     225.000us         2.28%     289.000us      28.900us      40.000us         1.62%      40.000us       4.000us           0 b           0 b      10.00 Kb      10.00 Kb            10  
                                            aten::copy_         0.50%      64.000us         2.02%     256.000us      25.600us      49.000us         1.98%      49.000us       4.900us           0 b           0 b           0 b           0 b            10  
