-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        67.24%      12.218ms        99.96%      18.164ms      18.164ms       0.000us         0.00%       2.858ms       2.858ms           0 b    -609.38 Kb      77.50 Kb    -857.50 Kb             1  
                                           aten::linear         1.16%     211.000us        16.01%       2.909ms      48.483us       0.000us         0.00%       2.646ms      44.100us           0 b           0 b     160.00 Kb           0 b            60  
                                            aten::addmm         9.36%       1.700ms        12.31%       2.237ms      37.283us       2.646ms        92.58%       2.646ms      44.100us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         2.01%     365.000us         6.83%       1.242ms      24.840us       0.000us         0.00%     100.000us       2.000us           0 b           0 b     155.00 Kb           0 b            50  
                                               aten::to         1.84%     335.000us         5.64%       1.025ms      51.250us       0.000us         0.00%      50.000us       2.500us           0 b           0 b     610.00 Kb           0 b            20  
                                       cudaLaunchKernel         4.84%     880.000us         4.84%     880.000us       7.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           120  
                                        aten::clamp_min         3.00%     546.000us         4.83%     877.000us      17.540us     100.000us         3.50%     100.000us       2.000us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                         aten::_to_copy         0.89%     162.000us         3.33%     605.000us      60.500us       0.000us         0.00%      40.000us       4.000us           0 b           0 b     610.00 Kb           0 b            10  
                                                aten::t         1.28%     232.000us         2.54%     461.000us       7.683us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                            aten::copy_         0.53%      97.000us         2.47%     448.000us      44.800us      50.000us         1.75%      50.000us       5.000us           0 b           0 b           0 b           0 b            10  
                                        cudaMemcpyAsync         2.38%     433.000us         2.38%     433.000us      21.650us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
