-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        62.12%      11.010ms        99.95%      17.714ms      17.714ms       0.000us         0.00%       2.864ms       2.864ms           0 b    -609.38 Kb      77.50 Kb    -920.00 Kb             1  
                                           aten::linear         1.80%     319.000us        18.13%       3.214ms      53.567us       0.000us         0.00%       2.644ms      44.067us           0 b           0 b     160.00 Kb       1.50 Kb            60  
                                            aten::addmm        10.23%       1.813ms        13.49%       2.391ms      39.850us       2.651ms        92.56%       2.651ms      44.183us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         2.51%     444.000us         8.14%       1.443ms      28.860us       0.000us         0.00%     100.000us       2.000us           0 b           0 b     155.00 Kb           0 b            50  
                                               aten::to         2.54%     450.000us         5.79%       1.026ms      51.300us       0.000us         0.00%      45.000us       2.250us           0 b           0 b     610.00 Kb      61.00 Kb            20  
                                        aten::clamp_min         3.46%     613.000us         5.64%     999.000us      19.980us     100.000us         3.49%     100.000us       2.000us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                       cudaLaunchKernel         5.58%     989.000us         5.58%     989.000us       8.242us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           120  
                                         aten::_to_copy         0.52%      93.000us         3.69%     654.000us      65.400us       0.000us         0.00%      50.000us       5.000us           0 b           0 b     610.00 Kb           0 b            10  
                                                aten::t         1.69%     300.000us         3.22%     570.000us       9.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                            aten::copy_         0.57%     101.000us         2.67%     473.000us      47.300us      50.000us         1.75%      50.000us       5.000us           0 b           0 b           0 b           0 b            10  
                                        cudaMemcpyAsync         2.57%     456.000us         2.57%     456.000us      22.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
