-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.62%       7.744ms       100.00%        1.240s        1.240s       0.000us         0.00%     935.000us     935.000us           0 b    -609.38 Kb       8.42 Mb      -4.00 Mb             1  
                                           aten::conv1d         0.00%      50.000us        99.01%        1.228s      61.391ms       0.000us         0.00%     631.000us      31.550us           0 b           0 b       1.19 Mb           0 b            20  
                                      aten::convolution         0.01%     138.000us        99.00%        1.228s      61.388ms       0.000us         0.00%     631.000us      31.550us           0 b           0 b       1.19 Mb     -61.00 Kb            20  
                                     aten::_convolution         0.02%     302.000us        98.99%        1.228s      61.382ms       0.000us         0.00%     631.000us      31.550us           0 b           0 b       1.25 Mb    -549.00 Kb            20  
                                aten::cudnn_convolution         3.38%      41.890ms        98.91%        1.227s      61.328ms     556.000us        59.47%     556.000us      27.800us           0 b           0 b       1.19 Mb       1.19 Mb            20  
                                               cudaFree        52.16%     646.836ms        52.16%     646.836ms     161.709ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaFuncGetAttributes        35.42%     439.235ms        35.42%     439.235ms       3.660ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           120  
                              cudaStreamCreateWithFlags         7.83%      97.052ms         7.83%      97.052ms       6.066ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                               aten::to         0.08%       1.043ms         0.11%       1.329ms      66.450us       0.000us         0.00%      40.000us       2.000us           0 b           0 b     610.00 Kb     122.00 Kb            20  
                                       aten::batch_norm         0.00%      33.000us         0.09%       1.093ms      54.650us       0.000us         0.00%      60.000us       3.000us           0 b           0 b       1.19 Mb           0 b            20  
