-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.65%       8.448ms       100.00%        1.309s        1.309s       0.000us         0.00%     930.000us     930.000us           0 b    -609.38 Kb       8.42 Mb      -3.89 Mb             1  
                                           aten::conv1d         0.00%      62.000us        99.01%        1.296s      64.804ms       0.000us         0.00%     629.000us      31.450us           0 b           0 b       1.19 Mb           0 b            20  
                                      aten::convolution         0.01%     145.000us        99.01%        1.296s      64.801ms       0.000us         0.00%     629.000us      31.450us           0 b           0 b       1.19 Mb    -122.00 Kb            20  
                                     aten::_convolution         0.02%     300.000us        98.99%        1.296s      64.793ms       0.000us         0.00%     629.000us      31.450us           0 b           0 b       1.31 Mb    -488.00 Kb            20  
                                aten::cudnn_convolution         4.64%      60.759ms        98.91%        1.295s      64.739ms     556.000us        59.78%     556.000us      27.800us           0 b           0 b       1.19 Mb       1.19 Mb            20  
                                               cudaFree        48.74%     638.031ms        48.74%     638.031ms     159.508ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaFuncGetAttributes        33.55%     439.136ms        33.55%     439.136ms       3.659ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           120  
                              cudaStreamCreateWithFlags        11.83%     154.796ms        11.83%     154.796ms       9.675ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                               aten::to         0.08%       1.039ms         0.11%       1.449ms      72.450us       0.000us         0.00%      47.000us       2.350us           0 b           0 b     610.00 Kb           0 b            20  
                                       aten::batch_norm         0.00%      29.000us         0.08%       1.056ms      52.800us       0.000us         0.00%      60.000us       3.000us           0 b           0 b       1.19 Mb           0 b            20  
