-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        62.65%      12.680ms        99.96%      20.232ms      20.232ms       0.000us         0.00%       2.464ms       2.464ms           0 b    -609.38 Kb      77.50 Kb    -858.00 Kb             1  
                                           aten::linear         1.35%     274.000us        20.64%       4.178ms      69.633us       0.000us         0.00%       2.266ms      37.767us           0 b           0 b     160.00 Kb         512 b            60  
                                            aten::addmm        12.04%       2.437ms        16.53%       3.345ms      55.750us       2.270ms        92.13%       2.270ms      37.833us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         2.18%     441.000us         8.12%       1.644ms      32.880us       0.000us         0.00%     101.000us       2.020us           0 b           0 b     155.00 Kb           0 b            50  
                                       cudaLaunchKernel         6.88%       1.393ms         6.88%       1.393ms       9.950us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           140  
                                        aten::clamp_min         3.68%     744.000us         5.94%       1.203ms      24.060us     101.000us         4.10%     101.000us       2.020us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                               aten::to         1.20%     242.000us         3.73%     755.000us      37.750us       0.000us         0.00%      50.000us       2.500us           0 b           0 b     610.00 Kb           0 b            20  
                                                aten::t         1.36%     275.000us         2.97%     602.000us      10.033us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                         aten::_to_copy         0.38%      77.000us         2.53%     513.000us      51.300us       0.000us         0.00%      50.000us       5.000us           0 b           0 b     610.00 Kb           0 b            10  
                                              aten::max         1.82%     368.000us         2.37%     480.000us      48.000us      33.000us         1.34%      33.000us       3.300us           0 b           0 b      10.00 Kb      10.00 Kb            10  
                                        cudaMemcpyAsync         1.80%     365.000us         1.80%     365.000us      18.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
