-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        42.55%      14.034ms        99.98%      32.980ms      32.980ms       0.000us         0.00%       6.892ms       6.892ms          48 b    -609.83 Kb      14.46 Mb    -255.95 Mb             1  
                                           aten::linear         2.36%     779.000us        26.07%       8.600ms      61.429us       0.000us         0.00%       4.290ms      30.643us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm        11.97%       3.949ms        20.38%       6.723ms      48.021us       3.607ms        59.56%       4.290ms      30.643us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       cudaLaunchKernel         8.44%       2.783ms         8.44%       2.783ms       6.788us     257.000us         4.24%     257.000us       0.627us           0 b           0 b           0 b           0 b           410  
                                       aten::layer_norm         0.67%     222.000us         6.04%       1.993ms      33.217us       0.000us         0.00%     330.000us       5.500us           0 b           0 b      17.75 Mb       1.18 Mb            60  
                                aten::native_layer_norm         3.13%       1.034ms         5.76%       1.900ms      31.667us     299.000us         4.94%     350.000us       5.833us           0 b           0 b      17.75 Mb           0 b            60  
                     aten::scaled_dot_product_attention         1.26%     415.000us         5.15%       1.699ms      56.633us       0.000us         0.00%       1.276ms      42.533us         480 b          32 b       9.08 Mb     620.00 Kb            30  
          aten::_scaled_dot_product_efficient_attention         1.20%     395.000us         4.17%       1.374ms      45.800us       0.000us         0.00%       1.368ms      45.600us         480 b           0 b       9.08 Mb           0 b            30  
                                            aten::copy_         1.28%     423.000us         4.13%       1.361ms      22.683us     339.000us         5.60%     361.000us       6.017us           0 b           0 b           0 b           0 b            60  
                                               aten::to         0.59%     195.000us         4.03%       1.330ms      33.250us       0.000us         0.00%     187.000us       4.675us           0 b           0 b       3.53 Mb      61.00 Kb            40  
