-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        67.48%      11.316ms        99.94%      16.760ms      16.760ms       0.000us         0.00%       2.861ms       2.861ms           0 b    -609.38 Kb      77.50 Kb    -857.50 Kb             1  
                                           aten::linear         1.09%     183.000us        15.64%       2.623ms      43.717us       0.000us         0.00%       2.649ms      44.150us           0 b           0 b     160.00 Kb           0 b            60  
                                            aten::addmm         9.34%       1.566ms        12.18%       2.042ms      34.033us       2.649ms        92.59%       2.649ms      44.150us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         1.79%     300.000us         6.61%       1.109ms      22.180us       0.000us         0.00%     100.000us       2.000us           0 b           0 b     155.00 Kb           0 b            50  
                                               aten::to         2.39%     400.000us         5.88%     986.000us      49.300us       0.000us         0.00%      50.000us       2.500us           0 b           0 b     610.00 Kb           0 b            20  
                                        aten::clamp_min         3.04%     509.000us         4.82%     809.000us      16.180us     100.000us         3.50%     100.000us       2.000us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                       cudaLaunchKernel         4.79%     804.000us         4.79%     804.000us       6.700us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           120  
                                         aten::_to_copy         0.42%      70.000us         3.49%     586.000us      58.600us       0.000us         0.00%      50.000us       5.000us           0 b           0 b     610.00 Kb           0 b            10  
                                            aten::copy_         0.51%      86.000us         2.55%     427.000us      42.700us      50.000us         1.75%      50.000us       5.000us           0 b           0 b           0 b           0 b            10  
                                        cudaMemcpyAsync         2.42%     406.000us         2.42%     406.000us      20.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
                                                aten::t         1.22%     205.000us         2.37%     398.000us       6.633us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
