-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.92%      13.255ms       100.00%        1.442s        1.442s       0.000us         0.00%       1.161ms       1.161ms           0 b    -609.38 Kb       8.42 Mb      -4.01 Mb             1  
                                           aten::conv1d         0.01%      95.000us        98.62%        1.422s      71.102ms       0.000us         0.00%     838.000us      41.900us           0 b           0 b       1.19 Mb           0 b            20  
                                      aten::convolution         0.01%     204.000us        98.61%        1.422s      71.097ms       0.000us         0.00%     838.000us      41.900us           0 b           0 b       1.19 Mb     -61.00 Kb            20  
                                     aten::_convolution         0.03%     451.000us        98.59%        1.422s      71.087ms       0.000us         0.00%     838.000us      41.900us           0 b           0 b       1.25 Mb    -549.00 Kb            20  
                                aten::cudnn_convolution         4.23%      60.965ms        98.49%        1.420s      71.010ms     747.000us        64.34%     747.000us      37.350us           0 b           0 b       1.19 Mb       1.19 Mb            20  
                                               cudaFree        44.73%     644.968ms        44.73%     644.968ms     161.242ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                       cudaLaunchKernel        39.84%     574.479ms        39.84%     574.479ms       3.192ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           180  
                              cudaStreamCreateWithFlags         9.62%     138.744ms         9.62%     138.744ms       8.671ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                               aten::to         0.13%       1.897ms         0.17%       2.434ms     121.700us       0.000us         0.00%      43.000us       2.150us           0 b           0 b     610.00 Kb      61.00 Kb            20  
                                       aten::batch_norm         0.01%     104.000us         0.10%       1.462ms      73.100us       0.000us         0.00%      57.000us       2.850us           0 b           0 b       1.19 Mb      61.00 Kb            20  
