-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        61.20%       7.273ms        99.94%      11.877ms      11.877ms       0.000us         0.00%       2.466ms       2.466ms           0 b    -609.38 Kb      77.50 Kb    -980.00 Kb             1  
                                           aten::linear         1.39%     165.000us        20.83%       2.476ms      41.267us       0.000us         0.00%       2.262ms      37.700us           0 b           0 b     160.00 Kb         512 b            60  
                                            aten::addmm        12.38%       1.471ms        16.81%       1.998ms      33.300us       2.265ms        91.85%       2.265ms      37.750us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         2.13%     253.000us         8.09%     961.000us      19.220us       0.000us         0.00%     100.000us       2.000us           0 b           0 b     155.00 Kb           0 b            50  
                                       cudaLaunchKernel         6.87%     817.000us         6.87%     817.000us       5.836us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           140  
                                        aten::clamp_min         3.70%     440.000us         5.96%     708.000us      14.160us     100.000us         4.06%     100.000us       2.000us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                               aten::to         1.86%     221.000us         4.22%     501.000us      25.050us       0.000us         0.00%      40.000us       2.000us           0 b           0 b     610.00 Kb     122.00 Kb            20  
                                         aten::_to_copy         0.39%      46.000us         2.92%     347.000us      34.700us       0.000us         0.00%      50.000us       5.000us           0 b           0 b     610.00 Kb           0 b            10  
                                                aten::t         1.39%     165.000us         2.85%     339.000us       5.650us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                              aten::max         1.88%     224.000us         2.40%     285.000us      28.500us      41.000us         1.66%      41.000us       4.100us           0 b           0 b      10.00 Kb      10.00 Kb            10  
                                        cudaMemcpyAsync         2.16%     257.000us         2.16%     257.000us      12.850us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
