-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        43.71%      26.093ms        99.98%      59.683ms      59.683ms       0.000us         0.00%      11.070ms      11.070ms          48 b    -609.81 Kb      14.46 Mb    -254.52 Mb             1  
                                           aten::linear         2.06%       1.230ms        25.07%      14.966ms     106.900us       0.000us         0.00%       7.191ms      51.364us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm        10.91%       6.511ms        19.54%      11.665ms      83.321us       6.397ms        65.22%       7.191ms      51.364us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       cudaLaunchKernel         6.17%       3.682ms         6.17%       3.682ms       9.689us     552.000us         5.63%     552.000us       1.453us           0 b           0 b           0 b           0 b           380  
                                       aten::layer_norm         0.33%     199.000us         6.10%       3.643ms      60.717us       0.000us         0.00%     404.000us       6.733us           0 b           0 b      17.75 Mb           0 b            60  
                                aten::native_layer_norm         3.06%       1.825ms         5.77%       3.444ms      57.400us     361.000us         3.68%     404.000us       6.733us           0 b           0 b      17.75 Mb           0 b            60  
                     aten::scaled_dot_product_attention         1.06%     635.000us         5.21%       3.108ms     103.600us       0.000us         0.00%       1.919ms      63.967us         480 b          16 b       9.08 Mb     310.00 Kb            30  
                                             cudaMalloc         4.46%       2.663ms         4.46%       2.663ms     380.429us       4.000us         0.04%       4.000us       0.571us           0 b           0 b           0 b           0 b             7  
          aten::_scaled_dot_product_efficient_attention         1.10%     656.000us         4.26%       2.545ms      84.833us       0.000us         0.00%       1.988ms      66.267us         480 b           0 b       9.08 Mb           0 b            30  
                                               aten::to         1.27%     761.000us         4.03%       2.408ms      60.200us       0.000us         0.00%     328.000us       8.200us           0 b           0 b       3.53 Mb     122.50 Kb            40  
