-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        55.17%      44.762ms        99.98%      81.128ms      81.128ms       0.000us         0.00%      10.861ms      10.861ms          48 b    -609.81 Kb      14.46 Mb    -257.04 Mb             1  
                                           aten::linear         1.68%       1.363ms        18.73%      15.195ms     108.536us       0.000us         0.00%       7.030ms      50.214us           0 b           0 b     117.19 Mb         512 b           140  
                                            aten::addmm         9.02%       7.323ms        14.24%      11.551ms      82.507us       6.252ms        65.01%       7.034ms      50.243us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                     aten::scaled_dot_product_attention         1.19%     969.000us         5.02%       4.072ms     135.733us       0.000us         0.00%       1.883ms      62.767us         480 b          16 b       9.08 Mb     310.00 Kb            30  
                                       cudaLaunchKernel         4.85%       3.938ms         4.85%       3.938ms      10.363us     545.000us         5.67%     545.000us       1.434us           0 b           0 b           0 b           0 b           380  
                                       aten::layer_norm         0.24%     197.000us         4.74%       3.843ms      64.050us       0.000us         0.00%     402.000us       6.700us           0 b           0 b      17.75 Mb           0 b            60  
                                aten::native_layer_norm         2.40%       1.945ms         4.49%       3.646ms      60.767us     360.000us         3.74%     402.000us       6.700us           0 b           0 b      17.75 Mb           0 b            60  
          aten::_scaled_dot_product_efficient_attention         1.00%     812.000us         3.91%       3.170ms     105.667us       0.000us         0.00%       1.947ms      64.900us         480 b           0 b       9.08 Mb           0 b            30  
                                               aten::to         0.65%     527.000us         3.64%       2.952ms      73.800us       0.000us         0.00%     349.000us       8.725us           0 b           0 b       3.53 Mb         512 b            40  
                                            aten::copy_         0.96%     777.000us         3.47%       2.812ms      46.867us     510.000us         5.30%     540.000us       9.000us           0 b           0 b           0 b           0 b            60  
