-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        42.31%      13.978ms        99.98%      33.032ms      33.032ms       0.000us         0.00%       6.918ms       6.918ms          48 b    -548.89 Kb      14.46 Mb    -256.23 Mb             1  
                                           aten::linear         2.35%     775.000us        25.68%       8.485ms      60.607us       0.000us         0.00%       4.288ms      30.629us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm        11.90%       3.933ms        20.04%       6.621ms      47.293us       3.599ms        59.24%       4.288ms      30.629us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       cudaLaunchKernel         7.89%       2.607ms         7.89%       2.607ms       6.359us     258.000us         4.25%     258.000us       0.629us           0 b           0 b           0 b           0 b           410  
                                       aten::layer_norm         0.35%     117.000us         5.97%       1.972ms      32.867us       0.000us         0.00%     348.000us       5.800us           0 b           0 b      17.75 Mb     303.00 Kb            60  
                                aten::native_layer_norm         3.24%       1.069ms         5.71%       1.885ms      31.417us     300.000us         4.94%     353.000us       5.883us           0 b           0 b      17.75 Mb           0 b            60  
                     aten::scaled_dot_product_attention         1.26%     416.000us         5.11%       1.689ms      56.300us       0.000us         0.00%       1.291ms      43.033us         480 b          32 b       9.08 Mb     620.00 Kb            30  
                                               aten::to         1.84%     607.000us         5.00%       1.651ms      41.275us       0.000us         0.00%     174.000us       4.350us           0 b           0 b       3.53 Mb     361.00 Kb            40  
          aten::_scaled_dot_product_efficient_attention         1.26%     416.000us         4.13%       1.365ms      45.500us       0.000us         0.00%       1.383ms      46.100us         480 b           0 b       9.08 Mb           0 b            30  
                                            aten::copy_         1.33%     438.000us         4.10%       1.353ms      22.550us     340.000us         5.60%     361.000us       6.017us           0 b           0 b           0 b           0 b            60  
