-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        43.18%      17.712ms        99.98%      41.010ms      41.010ms       0.000us         0.00%       6.897ms       6.897ms          48 b    -609.84 Kb      14.46 Mb    -256.78 Mb             1  
                                           aten::linear         2.24%     920.000us        25.54%      10.474ms      74.814us       0.000us         0.00%       4.293ms      30.664us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm        11.83%       4.854ms        20.15%       8.263ms      59.021us       3.608ms        59.56%       4.293ms      30.664us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       cudaLaunchKernel         7.81%       3.204ms         7.81%       3.204ms       7.815us     258.000us         4.26%     258.000us       0.629us           0 b           0 b           0 b           0 b           410  
                                       aten::layer_norm         0.86%     351.000us         6.10%       2.504ms      41.733us       0.000us         0.00%     282.000us       4.700us           0 b           0 b      17.75 Mb       1.78 Mb            60  
                                aten::native_layer_norm         3.02%       1.238ms         5.83%       2.390ms      39.833us     300.000us         4.95%     351.000us       5.850us           0 b           0 b      17.75 Mb           0 b            60  
                     aten::scaled_dot_product_attention         1.28%     525.000us         5.04%       2.067ms      68.900us       0.000us         0.00%       1.238ms      41.267us         480 b          48 b       9.08 Mb     930.00 Kb            30  
          aten::_scaled_dot_product_efficient_attention         1.10%     450.000us         4.09%       1.677ms      55.900us       0.000us         0.00%       1.374ms      45.800us         480 b           0 b       9.08 Mb           0 b            30  
                                              aten::add         2.57%       1.054ms         3.87%       1.589ms      22.700us     168.000us         2.77%     216.000us       3.086us           0 b           0 b      20.51 Mb      20.51 Mb            70  
                                            aten::copy_         1.25%     514.000us         3.85%       1.578ms      26.300us     338.000us         5.58%     360.000us       6.000us           0 b           0 b           0 b           0 b            60  
