-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        62.12%       7.575ms        99.95%      12.188ms      12.188ms       0.000us         0.00%       2.468ms       2.468ms           0 b    -609.38 Kb      77.50 Kb    -918.50 Kb             1  
                                           aten::linear         1.25%     152.000us        20.52%       2.502ms      41.700us       0.000us         0.00%       2.266ms      37.767us           0 b           0 b     160.00 Kb           0 b            60  
                                            aten::addmm        12.21%       1.489ms        16.56%       2.019ms      33.650us       2.266ms        91.82%       2.266ms      37.767us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         2.19%     267.000us         8.04%     981.000us      19.620us       0.000us         0.00%     100.000us       2.000us           0 b           0 b     155.00 Kb           0 b            50  
                                       cudaLaunchKernel         6.77%     826.000us         6.77%     826.000us       5.900us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           140  
                                        aten::clamp_min         3.68%     449.000us         5.86%     714.000us      14.280us     100.000us         4.05%     100.000us       2.000us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                               aten::to         1.49%     182.000us         4.27%     521.000us      26.050us       0.000us         0.00%      46.000us       2.300us           0 b           0 b     610.00 Kb      61.00 Kb            20  
                                         aten::_to_copy         0.54%      66.000us         2.85%     348.000us      34.800us       0.000us         0.00%      46.000us       4.600us           0 b           0 b     610.00 Kb           0 b            10  
                                                aten::t         1.28%     156.000us         2.71%     331.000us       5.517us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                              aten::max         1.82%     222.000us         2.32%     283.000us      28.300us      41.000us         1.66%      41.000us       4.100us           0 b           0 b      10.00 Kb      10.00 Kb            10  
                                            aten::copy_         0.53%      65.000us         2.07%     253.000us      25.300us      51.000us         2.07%      51.000us       5.100us           0 b           0 b           0 b           0 b            10  
