-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        44.01%      25.152ms        99.99%      57.138ms      57.138ms       0.000us         0.00%      10.722ms      10.722ms          48 b    -609.80 Kb      14.46 Mb    -255.86 Mb             1  
                                           aten::linear         2.21%       1.263ms        23.59%      13.482ms      96.300us       0.000us         0.00%       6.930ms      49.500us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm        10.89%       6.225ms        17.84%      10.193ms      72.807us       6.159ms        64.87%       6.930ms      49.500us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       aten::layer_norm         0.43%     245.000us         6.21%       3.547ms      59.117us       0.000us         0.00%     396.000us       6.600us           0 b           0 b      17.75 Mb     303.00 Kb            60  
                                       cudaLaunchKernel         6.10%       3.487ms         6.10%       3.487ms       9.176us     540.000us         5.69%     540.000us       1.421us           0 b           0 b           0 b           0 b           380  
                                aten::native_layer_norm         3.21%       1.834ms         5.88%       3.363ms      56.050us     360.000us         3.79%     402.000us       6.700us           0 b           0 b      17.75 Mb           0 b            60  
                     aten::scaled_dot_product_attention         0.93%     532.000us         5.37%       3.067ms     102.233us       0.000us         0.00%       1.924ms      64.133us         480 b           0 b       9.08 Mb           0 b            30  
                                               aten::to         1.48%     843.000us         4.69%       2.680ms      67.000us       0.000us         0.00%     290.000us       7.250us           0 b           0 b       3.53 Mb     601.00 Kb            40  
          aten::_scaled_dot_product_efficient_attention         1.14%     652.000us         4.44%       2.535ms      84.500us       0.000us         0.00%       1.924ms      64.133us         480 b           0 b       9.08 Mb           0 b            30  
                                            aten::copy_         1.21%     693.000us         4.38%       2.503ms      41.717us     507.000us         5.34%     537.000us       8.950us           0 b           0 b           0 b           0 b            60  
