-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        61.93%      57.488ms        99.98%      92.805ms      92.805ms       0.000us         0.00%      10.732ms      10.732ms          48 b    -609.80 Kb      14.46 Mb    -255.98 Mb             1  
                                           aten::linear         1.33%       1.230ms        15.43%      14.324ms     102.314us       0.000us         0.00%       6.938ms      49.557us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm         7.38%       6.850ms        11.86%      11.008ms      78.629us       6.165ms        64.87%       6.938ms      49.557us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       aten::layer_norm         0.21%     199.000us         5.91%       5.485ms      91.417us       0.000us         0.00%     402.000us       6.700us           0 b           0 b      17.75 Mb           0 b            60  
                                aten::native_layer_norm         4.08%       3.791ms         5.69%       5.286ms      88.100us     360.000us         3.79%     402.000us       6.700us           0 b           0 b      17.75 Mb           0 b            60  
                                       cudaLaunchKernel         3.88%       3.604ms         3.88%       3.604ms       9.484us     539.000us         5.67%     539.000us       1.418us           0 b           0 b           0 b           0 b           380  
                                               aten::to         1.19%       1.106ms         3.28%       3.044ms      76.100us       0.000us         0.00%     332.000us       8.300us           0 b           0 b       3.53 Mb     122.50 Kb            40  
                     aten::scaled_dot_product_attention         0.55%     506.000us         3.23%       3.000ms     100.000us       0.000us         0.00%       1.924ms      64.133us         480 b           0 b       9.08 Mb           0 b            30  
          aten::_scaled_dot_product_efficient_attention         0.71%     655.000us         2.69%       2.494ms      83.133us       0.000us         0.00%       1.924ms      64.133us         480 b           0 b       9.08 Mb           0 b            30  
                                            aten::copy_         0.78%     720.000us         2.62%       2.428ms      40.467us     514.000us         5.41%     544.000us       9.067us           0 b           0 b           0 b           0 b            60  
